,RESULT
16231,3
49301,0
1057,0
33219,0
21462,1
23912,0
38904,3
28756,0
25184,0
39546,0
38312,1
43352,0
46671,1
10021,0
13121,0
49197,1
45514,0
4575,0
5516,0
34679,1
1110,2
31950,0
46566,0
31189,0
49830,1
6841,0
17124,0
47761,1
35994,1
36361,0
49559,4
48471,0
27120,1
38298,0
26582,0
41159,1
50244,1
15879,0
24168,0
34097,0
42516,4
45757,0
12399,0
35473,0
48851,4
51466,0
20228,0
37279,1
8062,4
44015,0
8426,0
36067,4
24514,1
44204,0
4071,0
48844,0
23190,2
42842,0
32599,2
51497,0
45944,2
11295,0
49719,0
46715,1
52604,4
33065,1
44270,0
17573,1
34965,0
12802,0
35621,0
5283,4
22564,0
2130,0
41391,0
51140,0
11367,1
35957,1
15923,0
34287,1
42056,1
6595,1
50553,3
20126,0
22677,1
44516,0
44482,1
47325,0
37693,0
5235,2
16340,0
26110,1
12944,0
6620,0
26862,1
14106,0
50466,0
50410,0
33022,0
29386,4
52044,0
51965,0
19535,0
8326,2
1124,0
34355,0
34204,0
44945,1
23687,1
42970,0
19908,3
39221,0
344,1
9342,0
39899,0
30869,3
35871,0
19565,2
26049,0
14722,0
12753,1
14942,1
26506,0
17424,1
4169,4
21500,0
2165,1
2087,0
25093,4
44854,2
37987,1
35700,0
25172,3
46906,2
46562,4
35917,0
18064,0
20150,0
31217,1
15507,0
39832,0
34357,0
27146,0
38484,1
41624,1
12048,0
23095,1
42909,0
38357,0
49231,1
29656,2
768,0
10686,1
45846,0
35931,0
41929,0
42291,0
28413,1
35704,0
50275,1
36857,4
4398,1
49046,3
48291,0
28538,1
7028,1
31616,1
6192,0
42407,1
11444,0
41911,0
36441,0
31180,1
3622,0
3524,1
20356,2
938,1
4489,0
3981,0
19432,1
1592,0
3384,1
50521,4
1768,0
34122,1
50510,1
13848,0
33500,0
27548,3
47630,0
23923,0
5887,0
5463,1
10546,0
25349,0
49374,4
50388,0
38883,0
24842,1
18910,0
51702,0
39734,0
7267,1
30360,2
23330,2
30121,1
23855,1
15799,1
4830,4
18959,0
41260,0
42784,1
52628,1
29850,4
7580,0
45425,0
13769,1
1554,2
49589,2
5006,0
23760,1
35645,0
8361,1
40925,0
23409,0
51676,0
43187,0
2598,1
11822,0
41577,2
15435,0
11414,1
41043,0
19375,1
40746,1
20163,3
19289,2
38831,0
50034,0
44559,1
8259,0
35410,0
46255,0
16380,2
13534,0
29461,1
14079,0
51269,0
30928,0
31173,3
16545,0
48841,2
14291,3
21140,0
16802,0
30306,4
35807,0
36795,1
21180,1
243,1
44156,0
23895,2
34120,1
51123,0
47318,2
31799,0
27198,0
48259,1
43298,0
37435,2
41411,0
34988,0
23212,3
36135,1
20392,0
51452,1
8532,0
11373,0
45458,0
33319,0
34300,2
15951,1
12293,0
1595,1
1959,0
13317,1
14760,0
17201,0
4187,0
39478,0
38846,0
322,0
25318,2
16861,3
44512,0
12948,0
45644,0
18252,1
12832,0
13602,0
